id,title,preacher,datetime,mp3,ytube_id,scloud,fire_hard,location,transcript,format,created_at,updated_at,slug,dl_count
197,"2 Samuel 17","Pastor Anderson","2015-05-07 02:00:00",,aWBd3MbfsS0,https://soundcloud.com/bible-preaching/2015-05-06p-2-samuel-17,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.808232","2017-04-15 21:57:49.309446",2-samuel-17,0
198,"Resist the Devil!","Pastor Anderson","2015-05-04 01:30:00",,qqXNnA6YW2A,https://soundcloud.com/bible-preaching/2015-05-03p-resist-the-devil,t,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.831619","2017-04-15 21:57:49.324436",resist-the-devil,0
199,"2 Samuel 16","Pastor Anderson","2015-04-30 02:00:00",,Mjg9xo5s6j0,https://soundcloud.com/bible-preaching/2015-04-29p-2-samuel-16,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.854236","2017-04-15 21:57:49.339727",2-samuel-16,0
200,"Deal Breakers","Pastor Anderson","2015-04-27 01:30:00",,DdE2LhQ6K2s,https://soundcloud.com/bible-preaching/2015-04-26p-deal-breakers,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.877878","2017-04-15 21:57:49.358327",deal-breakers,0
201,"2 Samuel 15","Pastor Anderson","2015-04-23 02:00:00",,3FYc4ZVeJZ8,https://soundcloud.com/bible-preaching/2015-04-22p-2-samuel-15,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.900773","2017-04-15 21:57:49.376234",2-samuel-15,0
202,"Preaching the Gospel to the Navajo Nation","Pastor Anderson","2015-04-21 02:00:00",,1URW5gLp8QE,https://soundcloud.com/bible-preaching/2015-04-25-preaching-the-gospel-to-the-navajo-nation,f,Navajo,,Preaching,"2017-04-14 00:58:39.925396","2017-04-14 00:58:39.925396",preaching-the-gospel-to-the-navajo-nation,0
203,"Buddhism and Catholicism","Pastor Anderson","2015-04-20 01:30:00",,C1EM9iZpLeI,https://soundcloud.com/bible-preaching/2015-04-19p-buddhism-in-light-of-the-bible-part-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.953068","2017-04-15 21:57:49.391700",buddhism-and-catholicism,0
204,"2 Samuel 14","Pastor Anderson","2015-04-16 02:00:00",,BVXD2xDXEJ8,https://soundcloud.com/bible-preaching/2015-04-15p-2-samuel-14,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.980555","2017-04-15 21:57:49.409005",2-samuel-14,0
205,"Romans 11 Verse by Verse","Pastor Anderson","2015-04-13 01:30:00",,esbeR3tDhrw,https://soundcloud.com/bible-preaching/2015-04-12p-romans-11,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.008488","2017-04-15 21:57:49.423886",romans-11-verse-by-verse,0
206,"2 Samuel 13","Pastor Anderson","2015-04-09 02:00:00",,up3d2sB-7Ok,https://soundcloud.com/bible-preaching/2015-04-08p-2-samuel-13,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.033747","2017-04-15 21:57:49.440898",2-samuel-13,0
207,"Stammering Lips and an Another Tongue","Pastor Anderson","2015-04-06 01:30:00",,NY_m4OlvsbE,https://soundcloud.com/bible-preaching/2015-04-05p-speaking-with-other-tongues-part-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.068453","2017-04-15 21:57:49.459423",stammering-lips-and-an-another-tongue,0
208,"Abraham's Bosom","Bro Tyler Baker","2015-04-02 02:00:00",,O9shZsN-EFs,https://soundcloud.com/bible-preaching/2015-04-01p-abrahams-bosom,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.089485","2017-04-15 21:57:49.473476",abraham-s-bosom,0
209,"Speaking with Tongues","Pastor Anderson","2015-03-30 01:30:00",,5O265zl_AsQ,https://soundcloud.com/bible-preaching/2015-03-29p-speaking-with-other-tongues,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.113465","2017-04-15 21:57:49.488505",speaking-with-tongues,0
210,"2 Samuel 12","Pastor Anderson","2015-03-26 02:00:00",,PFPF-xMg9FA,https://soundcloud.com/bible-preaching/2015-03-25p-2-samuel-12,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.136561","2017-04-15 21:57:49.501624",2-samuel-12,0
211,Loyalty,"Pastor Anderson","2015-03-23 01:30:00",,F9fPbnEe6sc,https://soundcloud.com/bible-preaching/2015-03-22p-loyalty,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.160731","2017-04-15 21:57:49.516740",loyalty,0
212,"2 Samuel 11","Pastor Anderson","2015-03-19 02:00:00",,kmIgvECklHg,https://soundcloud.com/bible-preaching/2015-03-18p-2-samuel-11,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.188052","2017-04-15 21:57:49.532287",2-samuel-11,0
213,"Defying God by Sinning Willfully","Pastor Anderson","2015-03-16 01:30:00",,G_GWWSEMAIE,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.209277","2017-04-15 21:57:49.549094",defying-god-by-sinning-willfully,0
214,"2 Samuel 10","Pastor Anderson","2015-03-12 02:00:00",,bFFSZ5F263Q,https://soundcloud.com/bible-preaching/2015-03-11p-2-samuel-10,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.235015","2017-04-15 21:57:49.564461",2-samuel-10,0
215,"The Devil's Master Plan for the End Times","Pastor Anderson","2015-03-09 01:30:00",,yea9PLUMuzs,https://soundcloud.com/bible-preaching/2015-03-08p-the-devils-master-plan-for-the-end-times,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.260416","2017-04-15 21:57:49.579776",the-devil-s-master-plan-for-the-end-times,0
216,"2 Samuel 09","Pastor Anderson","2015-03-05 02:00:00",,-CJak5nLrng,https://soundcloud.com/bible-preaching/2015-03-04p-2-samuel-9,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.292335","2017-04-15 21:57:49.594088",2-samuel-09,0
217,"Seventh Day Adventist Cult","Pastor Anderson","2015-03-02 01:30:00",,aZDjEOz18dM,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.317031","2017-04-15 21:57:49.611630",seventh-day-adventist-cult,0
218,"2 Samuel 08","Pastor Anderson","2015-02-26 02:00:00",,nBJeyPXWEGg,https://soundcloud.com/bible-preaching/2015-02-25p-2-samuel-8,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.337636","2017-04-15 21:57:49.627685",2-samuel-08,0
219,"Bringing Forth Fruit unto God","Pastor Anderson","2015-02-23 01:30:00",,VzgRjVRicNs,https://soundcloud.com/bible-preaching/2015-02-22p-bringing-forth-fruit-unto-god,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.362992","2017-04-15 21:57:49.644010",bringing-forth-fruit-unto-god,0
220,"Don't Be Afraid","Pastor Anderson","2015-02-20 02:00:00",,DJqnyETHYXE,https://soundcloud.com/bible-preaching/2015-02-19p-do-not-be-afraid,f,VBC,,Preaching,"2017-04-14 00:58:40.384353","2017-04-14 00:58:40.384353",don-t-be-afraid,0
221,"2 Samuel 07","Pastor Anderson","2015-02-19 02:00:00",,kBQUwdd6Yhs,https://soundcloud.com/bible-preaching/2015-02-18p-2-samuel-7,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.405618","2017-04-15 21:57:49.659659",2-samuel-07,0
222,"Choose Life","Pastor Anderson","2015-02-16 01:30:00",,Dp4Yw3V2TCo,https://soundcloud.com/bible-preaching/2015-02-15p-choose-life,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.431181","2017-04-15 21:57:49.676014",choose-life,0
223,"2 Samuel 06","Pastor Anderson","2015-02-12 02:00:00",,KoIDyfFRkOg,https://soundcloud.com/bible-preaching/2015-02-11p-2-samuel-6,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.454020","2017-04-15 21:57:49.689251",2-samuel-06,0
224,"The Old Man vs. the New Man","Pastor Anderson","2015-02-09 01:30:00",,TovqiA8smD0,https://soundcloud.com/bible-preaching/2015-02-08p-the-new-man-vs-the-old-man,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.480695","2017-04-15 21:57:49.703998",the-old-man-vs-the-new-man,0
225,"2 Samuel 05","Pastor Anderson","2015-02-05 02:00:00",,d-MHjowAfeM,https://soundcloud.com/bible-preaching/2015-02-04p-2-samuel-5,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.504160","2017-04-15 21:57:49.720785",2-samuel-05,0
226,"Commandments in Exodus 8 (90-97)","Pastor Anderson","2015-02-02 01:30:00",,bzamyOpb9XM,https://soundcloud.com/bible-preaching/2015-02-01p-commandments-in-exodus-8-90-97,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.528476","2017-04-15 21:57:49.736773",commandments-in-exodus-8-90-97,0
227,"2 Samuel 04","Pastor Anderson","2015-01-29 02:00:00",,NIUE4BidyHo,https://soundcloud.com/bible-preaching/2015-01-28p-2-samuel-4,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.552437","2017-04-15 21:57:49.752843",2-samuel-04,0
228,"Commandments in Exodus 7 (76-89)","Pastor Anderson","2015-01-26 01:30:00",,hG2LxbbiZxg,https://soundcloud.com/bible-preaching/2015-01-25p-commandments-in-exodus-7-76-89,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.573549","2017-04-15 21:57:49.768677",commandments-in-exodus-7-76-89,0
229,"2 Samuel 03","Pastor Anderson","2015-01-22 02:00:00",,7KdVsQ83OvI,https://soundcloud.com/bible-preaching/2015-01-21p-2-samuel-3,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.600908","2017-04-15 21:57:49.786252",2-samuel-03,0
230,"The Words of the Wise","Pastor Anderson","2015-01-19 01:30:00",,LIprC8U3e9A,https://soundcloud.com/bible-preaching/2015-01-18p-the-words-of-the-wise,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.631810","2017-04-15 21:57:49.814249",the-words-of-the-wise,0
231,"Marxist Lucifer King-Documentary","Pastor Anderson","2015-01-15 02:00:00",,53BN9tTDoCw,,f,"Faithful Word Baptist Church",,Documentary,"2017-04-14 00:58:40.661603","2017-04-15 21:57:49.832360",marxist-lucifer-king-documentary,0
232,"2 Samuel 02","Pastor Anderson","2015-01-15 02:00:00",,rs6-qTcBU-U,https://soundcloud.com/bible-preaching/2015-01-14p-2-samuel-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.685550","2017-04-15 21:57:49.852881",2-samuel-02,0
233,"Martin Luther King Jr Exposed","Pastor Anderson","2015-01-12 01:30:00",,-PH4iMGbxFc,https://soundcloud.com/bible-preaching/2015-01-11p-martin-luther-king-jr-exposed,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.710438","2017-04-15 21:57:49.903891",martin-luther-king-jr-exposed,0
234,"2 Samuel 01","Pastor Anderson","2015-01-08 02:00:00",,NuJlw9505RE,https://soundcloud.com/bible-preaching/2015-01-07p-2-samuel-1,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.735351","2017-04-15 21:57:49.931651",2-samuel-01,0
235,"Old Testament Appearances of Jesus","Pastor Anderson","2015-01-05 01:30:00",,mV8Pis4_LcU,https://soundcloud.com/bible-preaching/2015-01-04p-old-testament-appearances-of-jesus-christ,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.760505","2017-04-15 21:57:49.957776",old-testament-appearances-of-jesus,0
236,"The Truth about Birth Control-Documentary","Pastor Anderson","2015-01-01 03:00:00",,EMRFAhfCX10,https://soundcloud.com/bible-preaching/the-truth-about-birth-control,f,"Faithful Word Baptist Church","",Documentary,"2017-04-14 00:58:40.785668","2017-04-16 05:45:49.247579",the-truth-about-birth-control-documentary,0
237,"Mark 16","Pastor Anderson","2015-01-01 02:00:00",,5hZsubDkVuk,https://soundcloud.com/bible-preaching/2014-12-31p-mark-16,f,"Faithful Word Baptist Church","",Preaching,"2017-04-14 00:58:40.808626","2017-04-16 05:41:39.844915",mark-16,0
238,"Why Birth Control is Wrong","Pastor Anderson","2014-12-29 01:30:00",,LO7hUXvm_Lg,https://soundcloud.com/bible-preaching/2014-12-28p-why-birth-control-is-wrong,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.835522","2017-04-15 21:57:50.037306",why-birth-control-is-wrong,0
239,"The Shepherds and the Birth of Christ","Pastor Anderson","2014-12-25 02:00:00",,6d0lo9-gwuc,https://soundcloud.com/bible-preaching/2014-12-24p-the-shepherds-and-the-birth-of-christ,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.859704","2017-04-15 21:57:50.068547",the-shepherds-and-the-birth-of-christ,0
240,"AIDS: the Judgment of God-Documentary","Pastor Anderson","2014-12-23 02:00:00",,qoXNLCGFNTc,https://soundcloud.com/bible-preaching/aids-the-judgment-of-god,f,"Faithful Word Baptist Church",,Documentary,"2017-04-14 00:58:40.879818","2017-04-15 21:57:50.088690",aids-the-judgment-of-god-documentary,0
241,"Commonly Twisted Scriptures - Part 2","Pastor Anderson","2014-12-22 01:30:00",,VzAl26GDk9U,https://soundcloud.com/bible-preaching/2014-12-21p-commonly-twisted-scriptures-part-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.905679","2017-04-15 21:57:50.106364",commonly-twisted-scriptures-part-2,0
242,"Mark 15","Pastor Anderson","2014-12-18 02:00:00",,TKtB2IBleZs,https://soundcloud.com/bible-preaching/2014-12-17p-mark-15,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.928798","2017-04-15 21:57:50.124951",mark-15,0
243,"Commonly Twisted Scriptures - Part 1","Pastor Anderson","2014-12-15 01:30:00",,OJx-bjXtM0o,https://soundcloud.com/bible-preaching/2014-12-14p-commonly-twisted-scriptures,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.952110","2017-04-15 21:57:50.143183",commonly-twisted-scriptures-part-1,0
244,"Mark 14","Pastor Anderson","2014-12-11 02:00:00",,aWyF23P1WH8,https://soundcloud.com/bible-preaching/2014-12-10p-mark-14,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.968934","2017-04-15 21:57:50.162233",mark-14,0
245,"Being a Psalm 23 Husband","Pastor Anderson","2014-12-08 01:30:00",,crP7uIXFHeE,https://soundcloud.com/bible-preaching/2014-12-07p-being-a-psalm-23-husband,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:40.988162","2017-04-15 21:57:50.180367",being-a-psalm-23-husband,0
246,"Mark 13","Pastor Anderson","2014-12-04 02:00:00",,AFmY_ZFf8hU,https://soundcloud.com/bible-preaching/2014-12-03p-mark-13,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.008426","2017-04-15 21:57:50.197282",mark-13,0
247,"AIDS: the Judgement of God","Pastor Anderson","2014-12-01 01:30:00",,NSb0jyvwNlM,https://soundcloud.com/bible-preaching/2014-11-30p-aids-the-judgement-of-god,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.032746","2017-04-15 21:57:50.217396",aids-the-judgement-of-god,0
248,"Mark 12","Pastor Anderson","2014-11-27 02:00:00",,epzqhStQrAc,https://soundcloud.com/bible-preaching/2014-11-26p-mark-12,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.060058","2017-04-15 21:57:50.237996",mark-12,0
249,"Some New Thing","Pastor Anderson","2014-11-24 01:30:00",,RVyNTkNBrA0,https://soundcloud.com/bible-preaching/2014-11-23p-some-new-thing,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.084226","2017-04-15 21:57:50.261468",some-new-thing,0
250,"Mark 11","Pastor Anderson","2014-11-20 02:00:00",,lMtTkNDQH14,https://soundcloud.com/bible-preaching/2014-11-19p-mark-11,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.110036","2017-04-15 21:57:50.278149",mark-11,0
251,"Mark 10: Children, Breastfeeding, etc.","Pastor Anderson","2014-11-17 01:30:00",,fv5RdSpOvQ4,https://soundcloud.com/bible-preaching/2014-11-16p-mark-10-part-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.135158","2017-04-15 21:57:50.297834",mark-10-children-breastfeeding-etc,0
252,"Mark 10: Divorce and Remarriage","Pastor Anderson","2014-11-13 02:00:00",,21Ys3l4xMpI,https://soundcloud.com/bible-preaching/2014-11-12p-mark-10-part-1,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.156255","2017-04-15 21:57:50.317907",mark-10-divorce-and-remarriage,0
253,"The Life of Esau","Pastor Anderson","2014-11-10 01:30:00",,odvDKJRnAnQ,https://soundcloud.com/bible-preaching/2014-11-09p-the-life-of-esau,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.172760","2017-04-15 21:57:50.350712",the-life-of-esau,0
254,"Mark 09","Pastor Anderson","2014-11-06 02:00:00",,y9_BvxvE61g,https://soundcloud.com/bible-preaching/2014-11-05p-mark-9,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.193595","2017-04-15 21:57:50.382731",mark-09,0
255,"Bastard Barry","Pastor Anderson","2014-11-03 01:30:00",,oxQHiGgFQ2A,https://soundcloud.com/bible-preaching/2014-11-02p-bastard-barry,t,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.213868","2017-04-15 21:57:50.413886",bastard-barry,0
256,"Mark 08","Pastor Anderson","2014-10-30 02:00:00",,QASTk-6dsak,https://soundcloud.com/bible-preaching/2014-10-29p-mark-8,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.235482","2017-04-15 21:57:50.437530",mark-08,0
257,"Wedding Sermon on Psalm 23","Pastor Anderson","2014-10-29 02:00:00",,qew9L3RZaUA,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.259107","2017-04-15 21:57:50.468288",wedding-sermon-on-psalm-23,0
258,"I Sought for a Man","Pastor Anderson","2014-10-27 01:30:00",,GbBFIbkL468,https://soundcloud.com/bible-preaching/2014-10-26a-i-sought-for-a-man,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.280263","2017-04-15 21:57:50.495616",i-sought-for-a-man,0
259,"Mark 07","Pastor Anderson","2014-10-23 02:00:00",,BnNA1-MM3hk,https://soundcloud.com/bible-preaching/2014-10-22p-mark-7,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.300925","2017-04-15 21:57:50.538631",mark-07,0
260,"Getting Along in Church and Marriage","Pastor Anderson","2014-10-20 01:30:00",,zS9GrSfk9FY,https://soundcloud.com/bible-preaching/2014-10-19p-getting-along-in-church-and-marriage,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.318223","2017-04-15 21:57:50.577649",getting-along-in-church-and-marriage,0
261,"Mark 06","Pastor Anderson","2014-10-16 02:00:00",,cexmQe98LGk,https://soundcloud.com/bible-preaching/2014-10-15p-mark-6,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.340418","2017-04-15 21:57:50.604355",mark-06,0
262,"Back to Bethel","Pastor Anderson","2014-10-13 01:30:00",,57PHp_7tpEY,https://soundcloud.com/bible-preaching/2014-10-12p-back-to-bethel,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.359093","2017-04-15 21:57:50.631127",back-to-bethel,0
263,"Mark 05","Pastor Anderson","2014-10-09 02:00:00",,copLRtDII5Y,https://soundcloud.com/bible-preaching/2014-10-08p-mark-5,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.376145","2017-04-15 21:57:50.654227",mark-05,0
264,"Commandments in Exodus 6 (66-75)","Pastor Anderson","2014-10-06 01:30:00",,SOFavQ_ReUU,https://soundcloud.com/bible-preaching/2014-10-05p-commandments-in-exodus-6-66-75,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.395284","2017-04-15 21:57:50.679718",commandments-in-exodus-6-66-75,0
265,"Mark 04","Pastor Anderson","2014-10-02 02:00:00",,XFJ3shFgKdo,https://soundcloud.com/bible-preaching/2014-10-01p-mark-4,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.414412","2017-04-15 21:57:50.702514",mark-04,0
266,"Commandments in Exodus 5 (54-65)","Pastor Anderson","2014-09-29 01:30:00",,Z3k1WheDUHY,https://soundcloud.com/bible-preaching/2014-09-28p-commandments-in-exodus-5-54-65,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.441315","2017-04-15 21:57:50.725031",commandments-in-exodus-5-54-65,0
267,"Mark 03","Pastor Anderson","2014-09-25 02:00:00",,Q_0P9LpPZJU,https://soundcloud.com/bible-preaching/2014-09-24p-mark-3,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.461875","2017-04-15 21:57:50.767503",mark-03,0
268,"After the Tribulation-Documentary","Pastor Anderson","2014-09-24 02:00:00",,z4R57dK7hB8,https://soundcloud.com/bible-preaching/after-the-tribulation,f,"Faithful Word Baptist Church",,Documentary,"2017-04-14 00:58:41.485266","2017-04-15 21:57:50.793901",after-the-tribulation-documentary,0
269,"Commandments in Exodus 4 (45-53)","Pastor Anderson","2014-09-22 01:30:00",,gcKsQGQQ0DU,https://soundcloud.com/bible-preaching/2014-09-21p-commandments-in-exodus-4-45-53,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.507545","2017-04-15 21:57:50.856188",commandments-in-exodus-4-45-53,0
270,"Mark 02","Pastor Anderson","2014-09-18 02:00:00",,cDQ1AT_C21A,https://soundcloud.com/bible-preaching/2014-09-17p-mark-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.542133","2017-04-15 21:57:50.896650",mark-02,0
271,"Commandments in Exodus 3 (37-44)","Pastor Anderson","2014-09-15 01:30:00",,a0okxBax5ew,https://soundcloud.com/bible-preaching/2014-09-14p-commandments-in-exodus-3-37-44,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.563437","2017-04-15 21:57:50.928172",commandments-in-exodus-3-37-44,0
272,"Mark 01","Pastor Anderson","2014-09-11 02:00:00",,JTsVZpzZxAM,https://soundcloud.com/bible-preaching/2014-09-10p-mark-1,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.584523","2017-04-15 21:57:50.954820",mark-01,0
273,"Commandments in Exodus 2 (21-36)","Pastor Anderson","2014-09-08 01:30:00",,hk3LsanWTOs,https://soundcloud.com/bible-preaching/2014-09-07p-commandments-in-exodus-2-21-36,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.609576","2017-04-15 21:57:50.973712",commandments-in-exodus-2-21-36,0
274,"Job 42","Pastor Anderson","2014-09-04 02:00:00",,jvVg-2kEaX8,https://soundcloud.com/bible-preaching/2014-09-03p-job-42,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.630809","2017-04-15 21:57:50.991570",job-42,0
275,"Commandments in Exodus 1 (14-20)","Pastor Anderson","2014-09-01 01:30:00",,aRc8J_k_ERg,https://soundcloud.com/bible-preaching/2014-08-31p-commandments-in-exodus-1-14-20,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.651783","2017-04-15 21:57:51.009976",commandments-in-exodus-1-14-20,0
276,"Job 41","Pastor Anderson","2014-08-28 02:00:00",,qokgGS4_gug,https://soundcloud.com/bible-preaching/2014-08-27p-job-41,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.677576","2017-04-15 21:57:51.028730",job-41,0
277,"Commandments in Genesis (1-13)","Pastor Anderson","2014-08-25 01:30:00",,UGghay8d9Nk,https://soundcloud.com/bible-preaching/2014-08-24p-commandments-in-genesis,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.700677","2017-04-15 21:57:51.046930",commandments-in-genesis-1-13,0
278,"Job 40","Pastor Anderson","2014-08-21 02:00:00",,Bj_-qaiBgz8,https://soundcloud.com/bible-preaching/2014-08-20p-job-40,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.719665","2017-04-15 21:57:51.065543",job-40,0
279,"Literal vs Figurative","Pastor Anderson","2014-08-18 01:30:00",,hBXYSJ3lD-0,https://soundcloud.com/bible-preaching/2014-08-17p-literal-vs-figurative,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.740432","2017-04-15 21:57:51.081937",literal-vs-figurative,0
280,"Job 39","Pastor Anderson","2014-08-14 02:00:00",,ZWUu4iaNbOk,https://soundcloud.com/bible-preaching/2014-08-13p-job-39,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.764119","2017-04-15 21:57:51.100259",job-39,0
281,"Marriage Advice","Pastor Anderson","2014-08-11 01:30:00",,JRqMG0W37-Q,https://soundcloud.com/bible-preaching/2014-08-10p-marriage-advice,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.786888","2017-04-15 21:57:51.114122",marriage-advice,0
282,"Job 38","Pastor Anderson","2014-08-07 02:00:00",,,https://soundcloud.com/bible-preaching/2014-08-06p-job-38,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.808371","2017-04-15 21:57:51.137635",job-38,0
283,"The Way of Cain","Pastor Anderson","2014-08-04 01:30:00",,uFU45b23z2A,https://soundcloud.com/bible-preaching/2014-08-03p-the-way-of-cain,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.836728","2017-04-15 21:57:51.157315",the-way-of-cain,0
284,"Job 37","Pastor Anderson","2014-07-31 02:00:00",,kE9qZJFNzFQ,https://soundcloud.com/bible-preaching/2014-07-30p-job-37,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.856118","2017-04-15 21:57:51.175752",job-37,0
285,"The Jews and Their Lies - Part 2","Pastor Anderson","2014-07-28 01:30:00",,kXhOFGtV-Js,https://soundcloud.com/bible-preaching/2014-07-27p-the-jews-and-their-lies-part-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.877129","2017-04-15 21:57:51.192039",the-jews-and-their-lies-part-2,0
286,"Job 36","Pastor Anderson","2014-07-24 02:00:00",,UyGGR4G2MFc,https://soundcloud.com/bible-preaching/2014-07-23p-job-36,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.897057","2017-04-15 21:57:51.211904",job-36,0
287,"The Messiah in the Old Testament","Pastor Anderson","2014-07-21 01:30:00",,Fvar6kwaBLY,https://soundcloud.com/bible-preaching/2014-07-20p-the-messiah-in-the-old-testament,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.923519","2017-04-15 21:57:51.237567",the-messiah-in-the-old-testament,0
288,"Job 35","Pastor Anderson","2014-07-17 02:00:00",,pnNB8iPxtZY,https://soundcloud.com/bible-preaching/2014-07-16p-job-35,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.958254","2017-04-15 21:57:51.262720",job-35,0
289,"Commonism vs Communism","Pastor Anderson","2014-07-14 01:30:00",,xYFIMwv7fBo,https://soundcloud.com/bible-preaching/2014-07-13p-commonism-vs-communism,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:41.987224","2017-04-15 21:57:51.283412",commonism-vs-communism,0
290,"Job 34","Pastor Anderson","2014-07-10 02:00:00",,s2hU255c7uA,https://soundcloud.com/bible-preaching/2014-07-09p-job-34,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:42.016627","2017-04-15 21:57:51.316581",job-34,0
