id,title,preacher,datetime,mp3,ytube_id,scloud,fire_hard,location,transcript,format,created_at,updated_at,slug,dl_count
127,"4 Types of false Prophets","Pastor Anderson","2015-12-28 01:30:00",,V0W5rhRf9dk,https://soundcloud.com/bible-preaching/2015-12-27p-four-types-of-false-prophets,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.001007","2017-04-15 21:57:48.137595",4-types-of-false-prophets,0
128,"The Miracle of Jesus' Birth","Pastor Anderson","2015-12-24 02:00:00",,cy3sWPmRYuU,https://soundcloud.com/bible-preaching/2015-12-23p-the-miracle-of-jesus-birth,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.024730","2017-04-15 21:57:48.153276",the-miracle-of-jesus-birth,0
129,"Ordaining Pastors and Deacons","Pastor Anderson","2015-12-21 01:30:00",,THHNy1r04CU,https://soundcloud.com/bible-preaching/2015-12-20p-ordaining-pastors-and-deacons,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.051554","2017-04-15 21:57:48.168772",ordaining-pastors-and-deacons,0
130,"Zechariah 08","Pastor Anderson","2015-12-17 02:00:00",,m1JFYFythDs,https://soundcloud.com/bible-preaching/2015-12-16p-zechariah-8,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.072772","2017-04-15 21:57:48.184300",zechariah-08,0
131,"Communion or the Lord's Supper","Pastor Anderson","2015-12-14 01:30:00",,jnj19cYDd7w,https://soundcloud.com/bible-preaching/2015-12-13p-communion-the-lords-supper,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.096815","2017-04-15 21:57:48.200234",communion-or-the-lord-s-supper,0
132,"Zechariah 07","Pastor Anderson","2015-12-10 02:00:00",,UF_CgWsPGvI,https://soundcloud.com/bible-preaching/2015-12-09p-zechariah-7,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.120156","2017-04-15 21:57:48.216566",zechariah-07,0
133,"Thoughts on Christmas","Pastor Anderson","2015-12-07 01:30:00",,1YNdOSxvS54,https://soundcloud.com/bible-preaching/2015-12-06p-thoughts-on-christmas,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.150648","2017-04-15 21:57:48.233006",thoughts-on-christmas,0
134,"Zechariah 06","Pastor Anderson","2015-12-03 02:00:00",,lXZ_lMTQDsw,https://soundcloud.com/bible-preaching/2015-12-02p-zechariah-6,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.169380","2017-04-15 21:57:48.248172",zechariah-06,0
135,"Not Satisfied with Abundance","Pastor Anderson","2015-11-30 01:30:00",,VPR6Hl-pwNo,https://soundcloud.com/bible-preaching/2015-11-29p-not-satisfied-with-abundance,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.195073","2017-04-15 21:57:48.264922",not-satisfied-with-abundance,0
136,"Zechariah 05","Pastor Anderson","2015-11-26 02:00:00",,PE2NmIB-ToU,https://soundcloud.com/bible-preaching/2015-11-25p-zechariah-5,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.219503","2017-04-15 21:57:48.280034",zechariah-05,0
137,"Psalm 119 (Aleph-He)","Pastor Anderson","2015-11-23 01:30:00",,C_ncZ37Bnqw,https://soundcloud.com/bible-preaching/2015-11-22p-lessons-from-psalm-119-aleph-he,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.241446","2017-04-15 21:57:48.297693",psalm-119-aleph-he,0
138,"The New World Order of Babylon","Pastor Anderson","2015-11-21 02:00:00",,qGE8GBQ9cuM,https://soundcloud.com/bible-preaching/2015-11-20p-babylon-in-revelation,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.270382","2017-04-15 21:57:48.313508",the-new-world-order-of-babylon,0
139,"Zechariah 04","Pastor Anderson","2015-11-19 02:00:00",,c4GcM7ZDGs8,https://soundcloud.com/bible-preaching/2015-11-18p-zechariah-4,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.291858","2017-04-15 21:57:48.328869",zechariah-04,0
